0,description,label
20003_1141146234,Treatment/medication code: atorvastatin,47
6153_1,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication",47
5983_irnt,"ECG, heart rate",48
6033_irnt,Maximum heart rate during fitness test,48
1538_0,Major dietary changes in the last 5 years: No,49
1538_1,"Major dietary changes in the last 5 years: Yes, because of illness",49
30530_irnt,Sodium in urine,49
6159_4,Pain type(s) experienced in last month: Back pain,49
6162_1,Types of transport used (excluding work): Car/motor vehicle,49
20550_1,"Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT",50
20549_3,Substances taken for anxiety: Medication prescribed to you (for at least two weeks),50
20446,Ever had prolonged feelings of sadness or depression,50
20547_3,"Activities undertaken to treat depression: Other therapeutic activities such as mindfulness, yoga or art classes",50
Z09,Diagnoses - main ICD10: Z09 Follow-up examination after treatment for conditions other than malignant neoplasms,50
20441,Ever had prolonged loss of interest in normal activities,50
20547_1,"Activities undertaken to treat depression: Talking therapies, such as psychotherapy, counselling, group therapy or CBT",50
G6_NERPLEX,"Nerve, nerve root and plexus disorders",51
VI_NERVOUS,Diseases of the nervous system,51
G56,Diagnoses - main ICD10: G56 Mononeuropathies of upper limb,51
G6_CARPTU,Carpal tunnel syndrome,51
20417,"Tense, sore, or aching muscles during worst period of anxiety",51
30520_irnt,Potassium in urine,52
30510_irnt,Creatinine (enzymatic) in urine,52
6149_100,Mouth/teeth dental problems: None of the above,52
2644,"Light smokers, at least 100 smokes in lifetime",52
20126_4,Bipolar and major depression status: Probable Recurrent major depression (moderate),53
2473,Other serious medical condition/disability diagnosed by doctor,53
5375_irnt,Longest period of unenthusiasm / disinterest,53
1787,Maternal smoking around birth,53
4631,Ever unenthusiastic/disinterested for a whole week,53
20126_0,Bipolar and major depression status: No Bipolar or Depression,53
2867_irnt,Age started smoking in former smokers,53
20499,Ever sought or received professional help for mental distress,54
20544_11,Mental health problems ever diagnosed by a professional: Depression,54
20546_3,Substances taken for depression: Medication prescribed to you (for at least two weeks),54
20530,Witnessed sudden violent death,54
20500,Ever suffered mental distress preventing usual activities,54
20448,Professional informed about depression,54
4526,Happiness,55
2070,Frequency of tenseness / restlessness in last 2 weeks,55
4559,Family relationship satisfaction,55
6145_6,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties",55
5160_irnt,3mm regularity index (right),55
4581,Financial situation satisfaction,55
20435,Difficulty concentrating during worst depression,56
20536_0,Weight change during worst episode of depression: Stayed about the same or was on a diet,56
1120,Weekly usage of mobile phone in last 3 months,56
3591,Ever had hysterectomy (womb removed),56
1588,Average weekly beer plus cider intake,56
6160_3,Leisure/social activities: Religious group,56
22146_irnt,Age hayfever or allergic rhinitis diagnosed by doctor,57
C_BREAST_3,Malignant neoplasm of breast,57
C50,Diagnoses - main ICD10: C50 Malignant neoplasm of breast,57
20001_1002,"Cancer code, self-reported: breast cancer",57
20416,Frequency of consuming six or more units of alcohol,58
20418,Impact on normal roles during worst period of anxiety,58
20405_0,"Ever had known person concerned about, or recommend reduction of, alcohol consumption: No",58
20403,Amount of alcohol drunk on a typical drinking day,58
20420_irnt,Longest period spent worried or anxious,58
20003_1140884600,Treatment/medication code: metformin,59
20107_9,Illnesses of father: Diabetes,59
2443,Diabetes diagnosed by doctor,59
6144_1,"Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs",59
4440,Average monthly spirits intake,59
20110_9,Illnesses of mother: Diabetes,59
20002_1220,"Non-cancer illness code, self-reported: diabetes",59
20460,Belief that own life is meaningful,60
4825,Noisy workplace,60
6147_2,"Reason for glasses/contact lenses: For long-sightedness, i.e. for distance and near, but particularly for near tasks like reading (called 'hypermetropia')",60
2784,Ever taken oral contraceptive pill,60
3773,Knee pain for 3+ months,60
2814,Ever used hormone-replacement therapy (HRT),60
20548_7,Manifestations of mania or irritability: I was easily distracted,61
20548_2,Manifestations of mania or irritability: I was more restless than usual,61
20548_3,Manifestations of mania or irritability: My thoughts were racing,61
20502,Ever had period extreme irritability,61
6032_irnt,Maximum workload during fitness test,62
5984_irnt,"ECG, load",62
6153_4,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Hormone replacement therapy",63
20003_2038460150,Treatment/medication code: paracetamol,63
20111_9,Illnesses of siblings: Diabetes,63
6154_3,"Medication for pain relief, constipation, heartburn: Paracetamol",63
6154_100,"Medication for pain relief, constipation, heartburn: None of the above",63
6149_3,Mouth/teeth dental problems: Bleeding gums,63
2365,Ever had prostate specific antigen (PSA) test,63
20003_1140923346,Treatment/medication code: co-codamol,63
6154_6,"Medication for pain relief, constipation, heartburn: Laxatives (e.g. Dulcolax, Senokot)",63
1239,Current tobacco smoking,64
XVIII_MISCFINDINGS,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",64
2020,"Loneliness, isolation",65
20517,"Trouble falling or staying asleep, or sleeping too much",65
2159,Ever had same-sex intercourse,65
3005,Fracture resulting from simple fall,66
20117_2,Alcohol drinker status: Current,66
20117_1,Alcohol drinker status: Previous,66
20535,Waking too early,66
6144_5,"Never eat eggs, dairy, wheat, sugar: I eat all of the above",67
6144_4,"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar",67
6157_100,Why stopped smoking: None of the above,68
6157_3,Why stopped smoking: Health precaution,68
2664_5,Reason for reducing amount of alcohol drunk: Other reason,69
2664_3,Reason for reducing amount of alcohol drunk: Health precaution,69
20002_1226,"Non-cancer illness code, self-reported: hypothyroidism/myxoedema",70
20003_1141191044,Treatment/medication code: levothyroxine sodium,70
6159_1,Pain type(s) experienced in last month: Headache,71
20002_1265,"Non-cancer illness code, self-reported: migraine",71
5108_irnt,3mm asymmetry angle (right),71
20536_1,Weight change during worst episode of depression: Gained weight,72
R10,Diagnoses - main ICD10: R10 Abdominal and pelvic pain,72
6179_100,Mineral and other dietary supplements: None of the above,72
6179_1,Mineral and other dietary supplements: Fish oil (including cod liver oil),72
2844,Had other major operations,73
864,Number of days/week walked 10+ minutes,73
20529,Victim of physically violent crime,74
20107_6,Illnesses of father: Chronic bronchitis/emphysema,74
6160_4,Leisure/social activities: Adult education class,74
6164_4,"Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)",74
N39,Diagnoses - main ICD10: N39 Other disorders of urinary system,74
20111_8,Illnesses of siblings: High blood pressure,75
20111_100,Illnesses of siblings: None of the above (group 1),75
20110_6,Illnesses of mother: Chronic bronchitis/emphysema,75
1150_3,Usual side of head for mobile phone use: Equally left and right,75
I9_IHD,"Ischaemic heart disease, wide definition",76
6150_1,Vascular/heart problems diagnosed by doctor: Heart attack,76
I9_CHD,Major coronary heart disease event,76
20002_1074,"Non-cancer illness code, self-reported: angina",76
20107_1,Illnesses of father: Heart disease,76
I9_CORATHER,Coronary atherosclerosis,76
20111_1,Illnesses of siblings: Heart disease,76
20533,Trouble falling asleep,76
6146_100,Attendance/disability/mobility allowance: None of the above,77
6146_3,Attendance/disability/mobility allowance: Blue badge,77
6146_2,Attendance/disability/mobility allowance: Disability living allowance,77
6148_100,Eye problems/disorders: None of the above,78
6148_4,Eye problems/disorders: Cataract,78
I9_DISVEINLYMPH,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",79
I83,Diagnoses - main ICD10: I83 Varicose veins of lower extremities,79
20003_1140868226,Treatment/medication code: aspirin,80
6154_1,"Medication for pain relief, constipation, heartburn: Aspirin",80
K11_HERNIA,Hernia,81
K40,Diagnoses - main ICD10: K40 Inguinal hernia,81
K11_GALLBILPANC,"Disorders of gallbladder, biliary tract and pancreas",82
K80,Diagnoses - main ICD10: K80 Cholelithiasis,82
PULM_MEDICATIO_COMORB,Medication related adverse effects (Asthma/COPD),83
H7_LENS,Disorders of lens,83
ASTHMA_MEDICATIO_COMORB,Medication related adverse effects,83
H26,Diagnoses - main ICD10: H26 Other cataract,83
M23,Diagnoses - main ICD10: M23 Internal derangement of knee,84
M13_MENISCUSDERANGEMENTS,Meniscus derangement,84
ILD_DIFF_DG,ILD differential diagnosis,85
X_RESPIRATORY,Diseases of the respiratory system,85
K29,Diagnoses - main ICD10: K29 Gastritis and duodenitis,86
K11_OTHGASTR,Other gastritis (incl. Duodenitis),86
