phenotype,description,Sex,Total Observed scale h2,Total Observed scale h2_se,Total Liability scale h2,Total Liability scale h2_se,-log10(h2_p),Intercept,Intercept_se,Ratio,Lambda GC,Mean Chi^2,prev(%),n_missing,n_non_missing,n_cases,n_controls,UK Biobank Data Showcase Link,notes
23099_irnt,Body fat percentage,both_sexes,0.1771,0.006,0.1771,0.006,191.06,1.25,0.0182,0.1554 (0.0111),2.11,2.63,,6566,354628,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23099,Body composition estimation by impedance measurement. Body fat percentage Body fat percentage. Range 1% - 75% in 0.1% increments.
23119_irnt,Arm fat percentage (right),both_sexes,0.1719,0.0061,0.1719,0.0061,174.29,1.25,0.0178,0.1546 (0.0112),2.08,2.59,,6434,354760,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23119,Body composition estimation by impedance measurement. Right arm fat percentage Range 1-75% in 0.1% increments.
23115_irnt,Leg fat percentage (left),both_sexes,0.1718,0.0058,0.1718,0.0058,192.39,1.26,0.0189,0.1601 (0.0118),2.1,2.6,,6403,354791,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23115,Body composition estimation by impedance measurement. Left leg fat percentage Range 1-75% in 0.1% increments.
20016_irnt,Fluid intelligence score,both_sexes,0.1708,0.0094,0.1708,0.0094,73.35,1.09,0.0113,0.1673 (0.0203),1.44,1.56,,244063,117131,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20016,This is a simple unweighted sum of the number of correct answers given to the 13 fluid intelligence questions. Participants who did not answer all of the questions within the allotted 2 minute limit are scored as zero for each of the unattempted questions.
49_irnt,Hip circumference,both_sexes,0.1702,0.0066,0.1702,0.0066,146.22,1.26,0.0181,0.1627 (0.0113),2.05,2.6,,673,360521,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=49,Hip circumference
30290_irnt,High light scatter reticulocyte percentage,both_sexes,0.1676,0.0122,0.1676,0.0122,42.52,1.22,0.0213,0.1448 (0.0139),1.68,2.53,,16465,344729,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30290,"Result of ""High Light Scatter Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes (Percentage) is computed as: (HLR / Total Erythrocytes) x 100."
30070_irnt,Red blood cell (erythrocyte) distribution width,both_sexes,0.1673,0.0148,0.1673,0.0148,29.2,1.19,0.0202,0.1267 (0.0134),1.47,2.52,,10721,350473,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30070,"Result of ""Red Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution."
30010_irnt,Red blood cell (erythrocyte) count,both_sexes,0.1655,0.0131,0.1655,0.0131,36.16,1.31,0.0219,0.1935 (0.0135),1.69,2.62,,10719,350475,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30010,"Result of ""Red Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes. Analyser operating range was 0 to 2x10^13 cells/Litre. Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre."
3062_irnt,Forced vital capacity (FVC),both_sexes,0.161,0.0078,0.161,0.0078,94.23,1.27,0.0178,0.1809 (0.0121),1.9,2.48,,31790,329404,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3062,FVC value calculated from blow
2714,Age when periods started (menarche),female,0.1608,0.0081,0.1608,0.0081,87.27,1.1,0.0111,0.1257 (0.0144),1.51,1.77,,5530,188644,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2714,"ACE touchscreen question ""How old were you when your periods started?"" The following checks were performed: If answer If answer > Participants age then rejected If answer > 25 then rejected If answer If answer > 20 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. "
30240_irnt,Reticulocyte percentage,both_sexes,0.1594,0.0125,0.1594,0.0125,36.82,1.21,0.0195,0.1427 (0.0134),1.63,2.45,,16466,344728,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30240,"Result of ""Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes (Percentage) is the number of reticulocytes as a percentage of red blood cells."
30270_irnt,Mean sphered cell volume,both_sexes,0.1591,0.0149,0.1591,0.0149,26.19,1.24,0.0201,0.1687 (0.0141),1.53,2.43,,16465,344729,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30270,"Result of ""Mean Sphered Cells Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit."
30260_irnt,Mean reticulocyte volume,both_sexes,0.159,0.0149,0.159,0.0149,26.16,1.22,0.0205,0.1524 (0.0144),1.45,2.42,,16466,344728,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30260,"Result of ""Mean Reticulocytes Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Reticulocytes volume is the average volume of all reticulocytes, calculated from the reticulocytes (percentage)."
30130_irnt,Monocyte count,both_sexes,0.1589,0.0159,0.1589,0.0159,23.09,1.29,0.0239,0.1939 (0.0163),1.55,2.47,,11338,349856,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30130,"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count."
48_irnt,Waist circumference,both_sexes,0.1587,0.0057,0.1587,0.0057,170.17,1.23,0.0182,0.1536 (0.0124),2.0,2.47,,630,360564,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=48,Waist circumference
5263_irnt,"Intra-ocular pressure, Goldmann-correlated (left)",both_sexes,0.1579,0.0111,0.1579,0.0111,45.5,1.08,0.0104,0.2183 (0.0287),1.24,1.36,,284684,76510,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5263,goldmann-correlated intraocular pressure for left eye
30210_irnt,Eosinophill percentage,both_sexes,0.1522,0.013000000000000001,0.1522,0.013000000000000001,31.24,1.25,0.0223,0.1642 (0.0145),1.51,2.55,,11333,349861,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30210,"Result of ""Eosinophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils (Percentage) is calculated as the proportion of eosinophils in the leukocytes."
20154_irnt,"Forced expiratory volume in 1-second (FEV1), predicted percentage",both_sexes,0.15,0.0087,0.15,0.0087,66.19,1.09,0.0098,0.186 (0.0195),1.36,1.5,,243953,117241,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20154,"This value was only calculated for samples with non-missing predicted Forced Expiratory Volume in 1-second, using derived variables Force Expiratory Volume in 1-second (FEV1) and predicted Forced Expiratory Volume in 1-second (pred.FEV1). It is defined as the Force Expiratory Volume in 1-second divided by the Percent predicted Forced Expiratory Volume in 1-second multiplied by 100: FEV1 /pred.FEV1 * 100 This derived data field has come from Professor Martin Tobin at the University of Leicester."
5256_irnt,Corneal hysteresis (right),both_sexes,0.1489,0.013000000000000001,0.1489,0.013000000000000001,29.95,1.07,0.0108,0.2137 (0.0329),1.2,1.33,,284564,76630,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5256,corneal hysteresis for right eye (a measure of viscuous damping in the cornea)
5255_irnt,"Intra-ocular pressure, Goldmann-correlated (right)",both_sexes,0.1479,0.0117,0.1479,0.0117,36.2,1.09,0.0109,0.2504 (0.0302),1.25,1.36,,284564,76630,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5255,goldmann-correlated intraocular pressure for right eye
30190_irnt,Monocyte percentage,both_sexes,0.1468,0.0162,0.1468,0.0162,19.19,1.23,0.0216,0.1773 (0.0164),1.43,2.32,,11333,349861,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30190,"Result of ""Monocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocytes (percentage) is calculated as the proportion of monocytes in the leukocytes."
30120_irnt,Lymphocyte count,both_sexes,0.1463,0.0104,0.1463,0.0104,44.52,1.28,0.0221,0.1934 (0.0151),1.68,2.46,,11338,349856,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30120,"Result of ""Lymphocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count"
3063_irnt,Forced expiratory volume in 1-second (FEV1),both_sexes,0.1456,0.006999999999999999,0.1456,0.006999999999999999,95.66,1.22,0.0167,0.1699 (0.0127),1.83,2.32,,31790,329404,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3063,FEV1 value calculated from blow
2395_1,Hair/balding pattern: Pattern 1,male,0.1448,0.0172,0.2464,0.0292,16.72,1.19,0.0165,0.2487 (0.0216),1.29,1.77,32.04,1371,165649,53076.0,112573.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395,"ACE touchscreen question ""Which of the following best describes your hair/balding pattern?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. [Illustrations presented in this question have been adapted from Giles et al. 2002 Cancer Epidemiol Biomarkers Prev] "
30000_irnt,White blood cell (leukocyte) count,both_sexes,0.1406,0.0103,0.1406,0.0103,42.0,1.28,0.0219,0.1973 (0.0152),1.72,2.44,,10724,350470,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30000,"Result of ""White Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes. Analyser operating range was 0 to 9x10^11 cells/Litre. Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre."
12340_irnt,QRS duration,both_sexes,0.1335,0.0492,0.1335,0.0492,2.48,1.01,0.006999999999999999,0.2224 (0.1536),1.03,1.05,,350379,10815,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=12340,QRS duration during ECG measurement
6138_1,Qualifications: College or University degree,both_sexes,0.1329,0.0044,0.2252,0.0075,199.99,1.21,0.0144,0.1641 (0.0114),1.91,2.26,32.44,3645,357549,115981.0,241568.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138,"ACE touchscreen question ""Which of the following qualifications do you have? (You can select more than one)"" The following checks were performed: If code -7 was selected, then no additional choices were allowed. If code -3 was selected, then no additional choices were allowed. If the participant activated the Help button they were shown the message: A levels/AS levels and equivalent includes the Higher School Certificate O levels/GCSEs and equivalent includes the School Certificate. "
5264_irnt,Corneal hysteresis (left),both_sexes,0.1327,0.0126,0.1327,0.0126,25.51,1.07,0.0102,0.2441 (0.0336),1.19,1.3,,284684,76510,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5264,corneal hysteresis for left eye (a measure of viscuous damping in the cornea)
30150,Eosinophill count,both_sexes,0.1284,0.0111,0.1284,0.0111,30.52,1.23,0.0202,0.175 (0.0152),1.51,2.33,,11338,349856,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30150,"Result of ""Eosinophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils count is the proportion of ( eosinophils / 100 ) x white blood cell count."
2139_irnt,Age first had sexual intercourse,both_sexes,0.1235,0.0052,0.1235,0.0052,124.26,1.15,0.0142,0.1412 (0.0136),1.73,2.04,,43500,317694,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2139,"ACE touchscreen question ""What was your age when you first had sexual intercourse? (Sexual intercourse includes vaginal, oral or anal intercourse)"" The following checks were performed: If answer If answer > Participants age then rejected If answer If the participant activated the Help button they were shown the message: Sexual intercourse includes vaginal, oral or anal intercourse. If you are unsure, please provide an estimate or select Do not know. "
22147_irnt,Age asthma diagnosed by doctor,both_sexes,0.1232,0.0379,0.1232,0.0379,3.24,1.0,0.0063,0.0648 (0.1711),1.03,1.04,,349477,11717,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22147,User was asked the age at which doctor diagnosed asthma
2395_4,Hair/balding pattern: Pattern 4,male,0.1228,0.0143,0.2616,0.0305,17.35,1.18,0.0163,0.272 (0.0245),1.27,1.67,18.25,1371,165649,30225.0,135424.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395,"ACE touchscreen question ""Which of the following best describes your hair/balding pattern?"" If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. [Illustrations presented in this question have been adapted from Giles et al. 2002 Cancer Epidemiol Biomarkers Prev] "
30140_irnt,Neutrophill count,both_sexes,0.1209,0.0086,0.1209,0.0086,44.46,1.24,0.019,0.1937 (0.0156),1.61,2.22,,11338,349856,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30140,"Result of ""Neutrophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count."
30020_irnt,Haemoglobin concentration,both_sexes,0.1195,0.0094,0.1195,0.0094,36.6,1.27,0.0202,0.2176 (0.0166),1.6,2.22,,10720,350474,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30020,"Result of ""Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Analyser operating range was 0 to 99.9g/dL Typical reference range is 12.1 to 16.3g/dL"
102_irnt,"Pulse rate, automated reading",both_sexes,0.1185,0.0087,0.1185,0.0087,41.82,1.16,0.0144,0.1487 (0.0132),1.62,2.09,,21032,340162,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102,This is the pulse rate measured during the automated blood pressure readings.
5556,FI9 : concept interpolation,both_sexes,0.1177,0.0135,0.1864,0.0215,17.85,1.02,0.0068,0.1677 (0.058),1.1,1.12,56.05,326047,35147,19701.0,15446.0,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5556,"ACE touchscreen question ""Age is to Years as Height is to?"". Part 9 of Fluid Intelligence test. Offered choice from Long, Deep, Top, Metres or Tall."
12336_irnt,Ventricular rate,both_sexes,0.1156,0.0429,0.1156,0.0429,2.45,1.01,0.0068,0.1693 (0.1829),1.03,1.04,,350377,10817,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=12336,Ventricular rate during ECG measurement.
30180_irnt,Lymphocyte percentage,both_sexes,0.1152,0.009000000000000001,0.1152,0.009000000000000001,37.09,1.24,0.0192,0.2091 (0.0165),1.54,2.17,,11333,349861,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30180,"Result of ""Lymphocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocytes (Percentage) is calculated as the proportion of lymphocytes in the leukocytes."
4080_irnt,"Systolic blood pressure, automated reading",both_sexes,0.1138,0.0052,0.1138,0.0052,105.74,1.18,0.0143,0.1675 (0.0133),1.7,2.07,,21035,340159,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4080,"Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart. Range returned by the Omron device is is 0-255"
30280_irnt,Immature reticulocyte fraction,both_sexes,0.11199999999999999,0.01,0.11199999999999999,0.01,28.69,1.17,0.0183,0.1639 (0.0179),1.48,2.02,,16466,344728,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30280,"Result of ""Immature Reticulocytes Fraction"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Immature Reticulocytes Fraction (Percentage) is an indication of new reticulocyte synthesis and is calculated from the reticulocytes (Percentage) as the total number of reticulocyte events in the outermost light scattering region, corresponding to immature reticulocytes, relative to the total number of reticulocytes and is reported as this ratio."
30030_irnt,Haematocrit percentage,both_sexes,0.1116,0.0086,0.1116,0.0086,38.08,1.26,0.02,0.2263 (0.0172),1.58,2.16,,10719,350475,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30030,"Result of ""Haematocrit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10. Analyser operating range was 0 to 99.9% Typical reference range is 35.4 to 47.2%"
1687,Comparative body size at age 10,both_sexes,0.1112,0.0072,0.1112,0.0072,53.39,1.14,0.013000000000000001,0.1407 (0.0128),1.64,2.02,,6198,354996,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,"ACE touchscreen question ""When you were 10 years old, compared to average would you describe yourself as:"""
